MFG_DATE,PLANT_ID,PRODUCT_ID,ITEMS_PRODUCED,ITEMS_SAMPLED,ITEMS_DEFECTIVE
1/1/16,US1,LAP01,49930,650,12
1/2/16,US1,LAP01,49990,730,13
1/3/16,US1,LAP01,50070,370,7
1/4/16,US1,LAP01,49980,500,9
1/5/16,US1,LAP01,50060,450,8
1/6/16,US1,LAP01,50060,580,10
1/7/16,US1,LAP01,50000,470,8
1/8/16,US1,LAP01,49960,550,10
1/9/16,US1,LAP01,50050,550,10
1/10/16,US1,LAP01,50000,410,7
1/11/16,US1,LAP01,50000,420,8
1/12/16,US1,LAP01,49990,570,10
1/13/16,US1,LAP01,49900,460,8
1/14/16,US1,LAP01,50090,470,8
1/15/16,US1,LAP01,50050,560,10
1/16/16,US1,LAP01,49950,460,8
1/17/16,US1,LAP01,50050,450,8
1/18/16,US1,LAP01,49970,490,9
1/19/16,US1,LAP01,50100,610,11
1/20/16,US1,LAP01,50140,480,9
1/21/16,US1,LAP01,50030,440,8
1/22/16,US1,LAP01,50000,660,12
1/23/16,US1,LAP01,50030,390,7
1/24/16,US1,LAP01,49970,520,9
1/25/16,US1,LAP01,49970,640,12
1/26/16,US1,LAP01,50010,410,7
1/27/16,US1,LAP01,50000,500,9
1/28/16,US1,LAP01,49980,440,8
1/29/16,US1,LAP01,49930,420,8
1/30/16,US1,LAP01,49950,550,10
1/31/16,US1,LAP01,49980,570,10
2/1/16,US1,LAP01,49960,540,10
2/2/16,US1,LAP01,50050,480,9
2/3/16,US1,LAP01,50000,650,12
2/4/16,US1,LAP01,49920,380,7
2/5/16,US1,LAP01,50020,570,10
2/6/16,US1,LAP01,50040,470,8
2/7/16,US1,LAP01,50030,390,7
2/8/16,US1,LAP01,49990,460,8
2/9/16,US1,LAP01,49950,530,10
2/10/16,US1,LAP01,49970,580,10
2/11/16,US1,LAP01,50000,750,14
2/12/16,US1,LAP01,49970,530,10
2/13/16,US1,LAP01,49990,620,11
2/14/16,US1,LAP01,49940,470,8
2/15/16,US1,LAP01,50080,570,10
2/16/16,US1,LAP01,49990,570,10
2/17/16,US1,LAP01,50010,620,11
2/18/16,US1,LAP01,49920,440,8
2/19/16,US1,LAP01,50050,440,8
2/20/16,US1,LAP01,50000,410,7
2/21/16,US1,LAP01,49970,620,11
2/22/16,US1,LAP01,50000,540,10
2/23/16,US1,LAP01,49970,750,14
2/24/16,US1,LAP01,50040,440,8
2/25/16,US1,LAP01,49970,650,12
2/26/16,US1,LAP01,50020,430,8
2/27/16,US1,LAP01,50010,500,9
2/28/16,US1,LAP01,50000,440,8
2/29/16,US1,LAP01,50110,300,5
3/1/16,US1,LAP01,50050,440,8
3/2/16,US1,LAP01,50000,370,7
3/3/16,US1,LAP01,49980,540,10
3/4/16,US1,LAP01,50000,410,7
3/5/16,US1,LAP01,49920,450,8
3/6/16,US1,LAP01,49970,530,10
3/7/16,US1,LAP01,50080,530,10
3/8/16,US1,LAP01,50030,650,12
3/9/16,US1,LAP01,50030,390,7
3/10/16,US1,LAP01,49990,550,10
3/11/16,US1,LAP01,50050,500,9
3/12/16,US1,LAP01,50070,510,9
3/13/16,US1,LAP01,49890,550,10
3/14/16,US1,LAP01,50050,470,8
3/15/16,US1,LAP01,50030,530,10
3/16/16,US1,LAP01,50090,480,9
3/17/16,US1,LAP01,49960,600,11
3/18/16,US1,LAP01,50040,410,7
3/19/16,US1,LAP01,50050,540,10
3/20/16,US1,LAP01,50010,520,9
3/21/16,US1,LAP01,50030,420,8
3/22/16,US1,LAP01,50060,570,10
3/23/16,US1,LAP01,49910,490,9
3/24/16,US1,LAP01,49960,640,12
3/25/16,US1,LAP01,50040,410,7
3/26/16,US1,LAP01,50050,350,6
3/27/16,US1,LAP01,50010,570,10
3/28/16,US1,LAP01,49940,550,10
3/29/16,US1,LAP01,49990,520,9
3/30/16,US1,LAP01,50020,510,9
3/31/16,US1,LAP01,49980,440,8
4/1/16,US1,LAP01,50010,510,9
4/2/16,US1,LAP01,49990,320,6
4/3/16,US1,LAP01,50110,640,12
4/4/16,US1,LAP01,50000,490,9
4/5/16,US1,LAP01,50010,650,12
4/6/16,US1,LAP01,50080,500,9
4/7/16,US1,LAP01,50040,420,8
4/8/16,US1,LAP01,50040,440,8
4/9/16,US1,LAP01,50080,640,12
4/10/16,US1,LAP01,50040,560,10
4/11/16,US1,LAP01,49970,510,9
4/12/16,US1,LAP01,50000,530,10
4/13/16,US1,LAP01,49980,750,14
4/14/16,US1,LAP01,49930,480,9
4/15/16,US1,LAP01,50010,660,12
4/16/16,US1,LAP01,50000,610,11
4/17/16,US1,LAP01,50050,390,7
4/18/16,US1,LAP01,50060,500,9
4/19/16,US1,LAP01,50000,530,10
4/20/16,US1,LAP01,50000,480,9
4/21/16,US1,LAP01,50070,500,9
4/22/16,US1,LAP01,50000,470,8
4/23/16,US1,LAP01,50030,540,10
4/24/16,US1,LAP01,50070,670,12
4/25/16,US1,LAP01,50050,470,8
4/26/16,US1,LAP01,50070,520,9
4/27/16,US1,LAP01,50010,400,7
4/28/16,US1,LAP01,50020,510,9
4/29/16,US1,LAP01,50060,440,8
4/30/16,US1,LAP01,49890,490,9
5/1/16,US1,LAP01,49990,660,12
5/2/16,US1,LAP01,50010,470,8
5/3/16,US1,LAP01,49990,500,9
5/4/16,US1,LAP01,50050,480,9
5/5/16,US1,LAP01,50000,700,13
5/6/16,US1,LAP01,50030,490,9
5/7/16,US1,LAP01,49900,480,9
5/8/16,US1,LAP01,50040,680,12
5/9/16,US1,LAP01,49980,400,7
5/10/16,US1,LAP01,50020,700,13
5/11/16,US1,LAP01,50030,500,9
5/12/16,US1,LAP01,50080,440,8
5/13/16,US1,LAP01,49960,610,11
5/14/16,US1,LAP01,49930,390,7
5/15/16,US1,LAP01,50050,490,9
5/16/16,US1,LAP01,50040,420,8
5/17/16,US1,LAP01,50030,540,10
5/18/16,US1,LAP01,50000,540,10
5/19/16,US1,LAP01,50070,500,9
5/20/16,US1,LAP01,49950,610,11
5/21/16,US1,LAP01,50080,500,9
5/22/16,US1,LAP01,50060,570,10
5/23/16,US1,LAP01,50020,440,8
5/24/16,US1,LAP01,50020,460,8
5/25/16,US1,LAP01,50100,450,8
5/26/16,US1,LAP01,50010,370,7
5/27/16,US1,LAP01,50030,400,7
5/28/16,US1,LAP01,50020,500,9
5/29/16,US1,LAP01,49990,570,10
5/30/16,US1,LAP01,50070,500,9
5/31/16,US1,LAP01,49940,480,9
