"MFG_DATE","PLANT_ID","PRODUCT_ID","ITEMS_PRODUCED","ITEMS_SAMPLED","ITEMS_DEFECTIVE","MFG_DEFECT_RATE"
2016-01-01,"US1","LAP01",49930,650,12,0.0184615384615385
2016-01-02,"US1","LAP01",49990,730,13,0.0178082191780822
2016-01-03,"US1","LAP01",50070,370,7,0.0189189189189189
2016-01-04,"US1","LAP01",49980,500,9,0.018
2016-01-05,"US1","LAP01",50060,450,8,0.0177777777777778
2016-01-06,"US1","LAP01",50060,580,10,0.0172413793103448
2016-01-07,"US1","LAP01",50000,470,8,0.0170212765957447
2016-01-08,"US1","LAP01",49960,550,10,0.0181818181818182
2016-01-09,"US1","LAP01",50050,550,10,0.0181818181818182
2016-01-10,"US1","LAP01",50000,410,7,0.0170731707317073
2016-01-11,"US1","LAP01",50000,420,8,0.019047619047619
2016-01-12,"US1","LAP01",49990,570,10,0.0175438596491228
2016-01-13,"US1","LAP01",49900,460,8,0.0173913043478261
2016-01-14,"US1","LAP01",50090,470,8,0.0170212765957447
2016-01-15,"US1","LAP01",50050,560,10,0.0178571428571429
2016-01-16,"US1","LAP01",49950,460,8,0.0173913043478261
2016-01-17,"US1","LAP01",50050,450,8,0.0177777777777778
2016-01-18,"US1","LAP01",49970,490,9,0.0183673469387755
2016-01-19,"US1","LAP01",50100,610,11,0.0180327868852459
2016-01-20,"US1","LAP01",50140,480,9,0.01875
2016-01-21,"US1","LAP01",50030,440,8,0.0181818181818182
2016-01-22,"US1","LAP01",50000,660,12,0.0181818181818182
2016-01-23,"US1","LAP01",50030,390,7,0.0179487179487179
2016-01-24,"US1","LAP01",49970,520,9,0.0173076923076923
2016-01-25,"US1","LAP01",49970,640,12,0.01875
2016-01-26,"US1","LAP01",50010,410,7,0.0170731707317073
2016-01-27,"US1","LAP01",50000,500,9,0.018
2016-01-28,"US1","LAP01",49980,440,8,0.0181818181818182
2016-01-29,"US1","LAP01",49930,420,8,0.019047619047619
2016-01-30,"US1","LAP01",49950,550,10,0.0181818181818182
2016-01-31,"US1","LAP01",49980,570,10,0.0175438596491228
2016-02-01,"US1","LAP01",49960,540,10,0.0185185185185185
2016-02-02,"US1","LAP01",50050,480,9,0.01875
2016-02-03,"US1","LAP01",50000,650,12,0.0184615384615385
2016-02-04,"US1","LAP01",49920,380,7,0.0184210526315789
2016-02-05,"US1","LAP01",50020,570,10,0.0175438596491228
2016-02-06,"US1","LAP01",50040,470,8,0.0170212765957447
2016-02-07,"US1","LAP01",50030,390,7,0.0179487179487179
2016-02-08,"US1","LAP01",49990,460,8,0.0173913043478261
2016-02-09,"US1","LAP01",49950,530,10,0.0188679245283019
2016-02-10,"US1","LAP01",49970,580,10,0.0172413793103448
2016-02-11,"US1","LAP01",50000,750,14,0.0186666666666667
2016-02-12,"US1","LAP01",49970,530,10,0.0188679245283019
2016-02-13,"US1","LAP01",49990,620,11,0.017741935483871
2016-02-14,"US1","LAP01",49940,470,8,0.0170212765957447
2016-02-15,"US1","LAP01",50080,570,10,0.0175438596491228
2016-02-16,"US1","LAP01",49990,570,10,0.0175438596491228
