purchase_date|order_status|product_name|quantity|currency|price|promotion_id|discount|city|state|postcode|country|product_code|size
2017-10-01T06:57:00+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||Bussey|ia|50044|US|7|16oz
2017-10-01T06:51:50+00:00|Cancelled|Nonscents Odor Control Cat Litter Deodorizer|0|USD|0.0|||BAYPORT|NY|11705-1754|US|7|16oz
2017-10-01T06:48:45+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||ROCHESTER|NY|14618-3641|US|7|16oz
2017-10-01T06:47:45+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||HOUSTON|TX|77007-5213|US|7|16oz
2017-10-01T06:41:48+00:00|Cancelled|Nonscents Odor Control Cat Litter Deodorizer|0|USD|0.0|||RARITAN|NJ|08869-1025|US|7|16oz
2017-10-01T06:23:10+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||MEDINA|WA|98039-1548|US|7|16oz
2017-10-01T06:09:31+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||BREA|CA|92821-4634|US|7|16oz
2017-10-01T05:51:32+00:00|Cancelled|Nonscents Odor Control Cat Litter Deodorizer|0|USD|0.0|||SACRAMENTO|CA|95827-1427|US|7|16oz
2017-10-01T05:47:26+00:00|Pending|Nonscents Odor Control Cat Litter Deodorizer|2|USD|21.98|FBA Subscribe & Save Discount||BROOKLYN|NY|11234-4126|US|7|16oz
2017-10-01T05:18:39+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|FBA Subscribe & Save Discount|1.1|Delray Beach|Florida|33484|US|7|16oz
2017-10-01T04:58:17+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||Northridge|CA|91324|US|7|16oz
2017-10-01T04:34:21+00:00|Shipped|NonScents Pet Odor Remover Spray|1|USD|17.99|||ORLANDO|FL|32835-8032|US|5|24oz
2017-10-01T04:26:25+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||CLOVIS|CA|93619-8230|US|7|16oz
2017-10-01T04:18:01+00:00|Pending|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|FBA Subscribe & Save Discount||SAN JOSE|CA|95120-4916|US|7|16oz
2017-10-01T04:17:33+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||KIRKLAND|WA|98033-5872|US|7|16oz
2017-10-01T04:14:25+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||JAMUL|CA|91935-6841|US|7|16oz
2017-10-01T03:58:04+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||Oceanside|CA|92054-2134|US|7|16oz
2017-10-01T03:44:09+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||SHREVEPORT|LA|71106-1043|US|7|16oz
2017-10-01T03:36:17+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|US Core Free Shipping||SACRAMENTO|CA|95825-6449|US|7|16oz
2017-10-01T03:29:52+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||MABLETON|GA|30126-1473|US|7|16oz
2017-10-01T03:23:47+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||MISSION VIEJO|CA|92691-1806|US|7|16oz
2017-10-01T03:20:59+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||ROGERS|AR|72758-4182|US|7|16oz
2017-10-01T03:12:00+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||BENICIA|CA|94510-3587|US|7|16oz
2017-10-01T03:09:13+00:00|Pending|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|FBA Subscribe & Save Discount||ROCKFORD|IL|61114-7335|US|7|16oz
2017-10-01T03:02:53+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||SAN JOSE|CA|95123|US|7|16oz
2017-10-01T03:00:15+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||Indianapolis|IN|46201|US|7|16oz
2017-10-01T02:59:54+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||GOLDSBORO|NC|27534-5677|US|7|16oz
2017-10-01T02:56:17+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|35.99|||PLEASANT HILL|CA|94523-3613|US|7|16oz
2017-10-01T02:51:38+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||WILKES BARRE|PA|18702-2325|US|7|16oz
2017-10-01T02:38:59+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||BOSTON|MA|02199-7804|US|7|16oz
2017-10-01T02:31:05+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||LOS ANGELES|CA|90027-5074|US|7|16oz
2017-10-01T02:25:02+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||BOZEMAN|MT|59718-8275|US|7|16oz
2017-10-01T02:19:13+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|35.99|||CINCINNATI|OH|45215-1466|US|7|16oz
2017-10-01T02:07:33+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||VIENNA|VA|22180-6424|US|7|16oz
2017-10-01T02:02:53+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||PARKER|CO|80134|US|7|16oz
2017-10-01T01:51:59+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||CONCORD|NC|28027-9400|US|7|16oz
2017-10-01T01:41:32+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||NORTHRIDGE|CALIFORNIA|91324-2314|US|7|16oz
2017-10-01T01:40:22+00:00|Cancelled|Nonscents Odor Control Cat Litter Deodorizer|0|USD|0.0|||LAKESIDE|CA|92040-8802|US|7|16oz
2017-10-01T01:35:45+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||WINSTON SALEM|NC|27104-1721|US|7|16oz
2017-10-01T01:25:47+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||CHESTER|VA|23831|US|7|16oz
2017-10-01T01:19:09+00:00|Shipped|NonScents Pet Odor Remover Spray|1|USD|17.99|||MACOMB|MI|48042-6180|US|5|24oz
2017-10-01T01:19:09+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||MACOMB|MI|48042-6180|US|7|16oz
2017-10-01T01:16:05+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||HUNTINGTON|WV|25701-9528|US|7|16oz
2017-10-01T01:12:24+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||Murphy|NC|28906|US|7|16oz
2017-10-01T01:06:48+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||Miami|Fl|33172|US|7|16oz
2017-10-01T00:32:48+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||RAINELLE|WV|25962-1041|US|7|16oz
2017-10-01T00:32:15+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||SPOKANE|WA|99224-5282|US|7|16oz
2017-10-01T00:08:29+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||NEW YORK|NY|10023-4260|US|7|16oz
2017-09-30T23:59:56+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||NORFOLK|VA|23510-0914|US|7|16oz
2017-09-30T23:59:44+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||BALTIMORE|MD|21211-2223|US|7|16oz
2017-09-30T23:48:05+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|US Core Free Shipping||Abilene|TX|79605-3607|US|7|16oz
2017-09-30T23:48:05+00:00|Shipped|NonScents Pet Odor Remover Spray|1|USD|17.99|US Core Free Shipping||Abilene|TX|79605-3607|US|5|24oz
2017-09-30T23:46:57+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||SALIDA|CA|95368-9710|US|7|16oz
2017-09-30T23:44:38+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|35.99|||ROCKDALE|TX|76567-2621|US|7|16oz
2017-09-30T23:40:38+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||BOSTON|MA|02116-4723|US|7|16oz
2017-09-30T22:45:26+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||STOCKTON|CA|95209-1153|US|7|16oz
2017-09-30T22:42:58+00:00|Shipped|NonScents Pet Odor Remover Spray|2|USD|35.98|||SIOUX FALLS|SD|57106-5608|US|5|24oz
2017-09-30T22:35:25+00:00|Cancelled|Nonscents Odor Control Cat Litter Deodorizer|0|USD|0.0|||COPPERAS COVE|TX|76522-3361|US|7|16oz
2017-09-30T22:34:51+00:00|Pending|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|FBA Subscribe & Save Discount||COPPERAS COVE|TX|76522-3361|US|7|16oz
2017-09-30T22:28:30+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||CANYON COUNTRY|CA|91351-4831|US|7|16oz
2017-09-30T22:13:36+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||BURLINGTON|NC|27215-4521|US|7|16oz
2017-09-30T22:05:58+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|US Core Free Shipping||FPO|AE|09593|US|7|16oz
2017-09-30T21:55:53+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||ALBUQUERQUE|NM|87108-4337|US|7|16oz
