       AMO       NAO   NIN
1856.0  0.1933    NaN   NaN
1857.0 -0.02533   NaN   NaN
1858.0  0.001833  NaN   NaN
1859.0  0.0125    NaN   NaN
1860.0  0.07917   NaN   NaN
1861.0  0.1763    NaN   NaN
1862.0 -0.2029    NaN   NaN
1863.0 -0.1197    NaN   NaN
1864.0  0.05725  -1.02  NaN
1865.0  0.1633   -1.24  NaN
1866.0  0.1983    0.54  NaN
1867.0  0.1372   -1.38  NaN
1868.0  0.1496    2.81  NaN
1869.0  0.09083   1.7   NaN
1870.0  0.014    -3.01  NaN
1871.0  0.02725  -1.01  NaN
1872.0  0.09     -0.76  NaN
1873.0  0.04442  -0.5   NaN
1874.0 -0.02458   2.32  NaN
1875.0  0.03142  -1.35  NaN
1876.0 -0.0255    0.21  NaN
1877.0  0.2381    0.05  NaN
1878.0  0.4493    1.46  NaN
1879.0  0.122    -2.22  NaN
1880.0  0.05933   0.89  NaN
1881.0  0.03933  -3.8   NaN
1882.0 -0.02917   3.87  NaN
1883.0 -0.03567  -0.23  NaN
1884.0 -0.07917   1.44  NaN
1885.0 -0.02775  -0.89  NaN
1886.0  0.1198   -1.12  NaN
1887.0  0.1183    0.45  NaN
1888.0  0.1919   -2.75  NaN
1889.0  0.1948   -0.01  NaN
1890.0 -0.1477    1.78  NaN
1891.0  0.03167  -0.82  NaN
1892.0 -0.09467  -2.02  NaN
1893.0 -0.008333 -1.07  NaN
1894.0 -0.2464    2.68  NaN
1895.0 -0.09708  -3.97  NaN
1896.0  0.1042    1.12  NaN
1897.0  0.1074    1.09  NaN
1898.0  0.072     1.02  NaN
1899.0  0.1254    0.03  NaN
1900.0  0.09517  -2.13  NaN
1901.0  0.08658  -0.33  NaN
1902.0 -0.1033   -1.41  NaN
1903.0 -0.1942    3.89  NaN
1904.0 -0.3488    0.23  NaN
1905.0 -0.2035    1.98  NaN
1906.0 -0.07383   2.06  NaN
1907.0 -0.2273    2.06  NaN
1908.0 -0.1303    1.44  NaN
1909.0 -0.137     0     NaN
1910.0 -0.2472    2.1   NaN
1911.0 -0.213     0.29  NaN
1912.0 -0.2271    0.24  NaN
1913.0 -0.3868    2.69  NaN
1914.0 -0.2886    1.48  NaN
1915.0  0.09508  -0.2   NaN
1916.0 -0.07442  -0.69  NaN
1917.0 -0.2774   -3.8   NaN
1918.0 -0.2584   -0.8   NaN
1919.0 -0.184    -0.8   NaN
1920.0 -0.3327    3.18  NaN
1921.0 -0.2177    1.63  NaN
1922.0 -0.3174    1.85  NaN
1923.0 -0.3212    1.73  NaN
1924.0 -0.1493   -1.13  NaN
1925.0 -0.1562    2.39  NaN
1926.0  0.08933   0.11  NaN
1927.0  0.1138    1.72  NaN
1928.0 -0.0015    0.63  NaN
1929.0 -0.1071   -1.03  NaN
1930.0  0.01558   0.91  NaN
1931.0  0.1835   -0.16  NaN
1932.0  0.2334   -0.5   NaN
1933.0  0.1982    0.25  NaN
1934.0 -0.00225   0.86  NaN
1935.0  0.02325   0.97  NaN
1936.0  0.1557   -3.89  NaN
1937.0  0.299     0.72  NaN
1938.0  0.2467    1.79  NaN
1939.0  0.1146    0.37  NaN
1940.0 -0.02408  -2.86  NaN
1941.0  0.1795   -2.31  NaN
1942.0  0.1888   -0.55  NaN
1943.0  0.03867   1.48  NaN
1944.0  0.3544    0.61  NaN
1945.0  0.2252    1.64  NaN
1946.0  0.02417   0.27  NaN
1947.0 -0.08008  -2.71  NaN
1948.0  0.01742   1.34  NaN
1949.0  0.09658   1.87  NaN
1950.0 -0.00375   1.4   NaN
1951.0  0.2078   -1.26  NaN
1952.0  0.2996    0.83  NaN
1953.0  0.269     0.18  NaN
1954.0  0.04783   0.13  NaN
1955.0  0.1973   -2.52  NaN
1956.0 -0.01442  -1.73  NaN
1957.0  0.04525   1.52  NaN
1958.0  0.2191   -1.02  NaN
1959.0  0.058    -0.37  NaN
1960.0  0.2405   -1.54  NaN
1961.0  0.105     1.8   NaN
1962.0  0.0775   -2.38  NaN
1963.0  0.009917 -3.6   NaN
1964.0 -0.09     -2.86  NaN
1965.0 -0.1541   -2.88  NaN
1966.0  0.009833 -1.69  NaN
1967.0 -0.09225   1.28  NaN
1968.0 -0.1614   -1.04  NaN
1969.0  0.01525  -4.89  NaN
