Shape,OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OID_,NAME,YEAR,SEGKEY,AAWDT,INPUT_STUD,HPMS,FLOW_COUNT,Shape_Length
"(47.535405816000036, -122.28064276199996)",1,94250370,N,12522,RENTON AVE S,80,"RENTON AVE S, N/O S CLOVERDALE ST",2010,12522,8000,301457, ,Y,4614.870959166624743
"(47.52407785500003, -122.29347826999998)",2,50000650,N,8702,AIRPORT WAY S,139,"AIRPORT WAY S, N/O S NORFOLK ST",2010,8702,10100,302115, ,Y,18205.406552637399727
"(47.70505121300005, -122.34469412899995)",3,127150040,N,16114,N NORTHGATE WAY,76,"N NORTHGATE WAY, W/O ASHWORTH AVE N",2010,16114,27500,301937, ,Y,4267.385575434769635
"(47.67606025300006, -122.34830501899995)",4,123450090,N,15794,N 65TH ST,259,"N 65TH ST, W/O LINDEN AVE N",2010,15794,7900,300602, ,Y,12341.35854267330069
"(47.61096394800006, -122.34045213799999)",5,9550200,Y,2762,2ND AVE,59,"2ND AVE, NW/O LENORA ST",2010,2762,11600,218340, ,Y,4161.475769190235951
"(47.712044252000055, -122.29951197399998)",6,80150420,N,11190,LAKE CITY WAY NE,150,"LAKE CITY WAY NE, S/O NE 145TH ST",2010,11190,34200,302075, ,Y,8237.156888530025753
"(47.60462517900004, -122.32697031499998)",7,78850080,Y,11055,JAMES ST,108,"JAMES ST, NE/O 7TH AVE",2010,11055,30700,301425, ,Y,1288.213150923223566
"(47.71960135900008, -122.35553853899995)",8,71050870,N,10795,GREENWOOD AVE N,256,"GREENWOOD AVE N, S/O N 145TH ST",2010,10795,21600,302077, ,Y,5299.689215186754154
"(47.52331233900003, -122.27640325399994)",9,94250400,N,12525,RENTON AVE S,226,"RENTON AVE S, SE/O S HENDERSON ST",2010,12525,7100,301887, ,Y,8271.63420102157761
"(47.61218154000005, -122.33854264999997)",10,31300190,Y,6138,4TH AVE,133,"4TH AVE, NW/O LENORA ST",2010,6138,12100,218345, ,Y,3501.394410061177496
"(47.522861344000034, -122.36009936199997)",11,63200340,N,9992,DELRIDGE WAY SW,38,"DELRIDGE WAY SW, NW/O SW CAMBRIDGE ST",2010,9992,13900,302091, ,Y,2347.959226801383011
"(47.55342592800008, -122.33421550999998)",12,300310,N,1221,1ST AVE S,90,"1ST AVE S, S/O S LUCILE ST",2010,1221,16000,301143, ,Y,1881.079007718337834
"(47.723211939000066, -122.34515960199997)",13,118650110,N,15163,N 130TH ST,111,"N 130TH ST, W/O ASHWORTH AVE N",2010,15163,19900,301929, ,Y,5315.400620661674111
