Shape,DOWNTOWN,STNAME,NAME,YEAR_,AAWDT,HPMS,FLOW_COUNT,OBJECTID,GEOBASID,COMPKEY,SEGKEY,INPUT_STUDY_ID,Shape_Length
"(47.535405816000036, -122.28064276199996)",N,RENTON AVE S,"RENTON AVE S, N/O S CLOVERDALE ST",2011,8100, ,Y,1,94250370,12522,12522,304794,4614.870959197440243
"(47.52407785500003, -122.29347826999998)",N,AIRPORT WAY S,"AIRPORT WAY S, N/O S NORFOLK ST",2011,10800,Y,Y,2,50000650,8702,8702,307682,18205.406552658681903
"(47.70505121300005, -122.34469412899995)",N,N NORTHGATE WAY,"N NORTHGATE WAY, W/O ASHWORTH AVE N",2011,26900,Y,Y,3,127150040,16114,16114,304717,4585.847750314947916
"(47.67606025300006, -122.34830501899995)",N,N 65TH ST,"N 65TH ST, W/O LINDEN AVE N",2011,8000, ,Y,4,123450090,15794,15794,303940,12341.358542661795582
"(47.61096394800006, -122.34045213799999)",Y,2ND AVE,"2ND AVE, NW/O LENORA ST",2011,6000,Y, ,5,9550200,2762,2762,302238,4161.475769154266345
"(47.712044252000055, -122.29951197399998)",N,LAKE CITY WAY NE,"LAKE CITY WAY NE, S/O NE 145TH ST",2011,37100, ,Y,6,80150420,11190,11190,308061,8237.156888512736259
"(47.60462517900004, -122.32697031499998)",Y,JAMES ST,"JAMES ST, NE/O 7TH AVE",2011,41500,Y,Y,7,78850080,11055,11055,304509,1288.21315091562974
"(47.71960135900008, -122.35553853899995)",N,GREENWOOD AVE N,"GREENWOOD AVE N, S/O N 145TH ST",2011,21400,Y,Y,8,71050870,10795,10795,307700,5299.689215171582873
"(47.52331233900003, -122.27640325399994)",N,RENTON AVE S,"RENTON AVE S, SE/O S HENDERSON ST",2011,6800, ,Y,9,94250400,12525,12525,304796,8271.634200980632158
"(47.61218154000005, -122.33854264999997)",Y,4TH AVE,"4TH AVE, NW/O LENORA ST",2011,18900,Y,Y,10,31300190,6138,6138,302412,3501.394410082227296
"(47.522861344000034, -122.36009936199997)",N,DELRIDGE WAY SW,"DELRIDGE WAY SW, NW/O SW CAMBRIDGE ST",2011,13200,Y,Y,11,63200340,9992,9992,307690,2347.959226793898324
"(47.55342592800008, -122.33421550999998)",N,1ST AVE S,"1ST AVE S, S/O S LUCILE ST",2011,18700, ,Y,12,300310,1221,1221,304760,1881.079007731866568
"(47.723211939000066, -122.34515960199997)",N,N 130TH ST,"N 130TH ST, W/O ASHWORTH AVE N",2011,20700,Y,Y,13,118650110,15163,15163,304708,5315.400620676872677
"(47.63955597900008, -122.40100005599999)",N,34TH AVE W,"34TH AVE W, N/O W BARRETT ST",2011,4800, ,Y,14,26200100,5324,5324,308004,7204.63076241226554
"(47.66851165500003, -122.29019267799998)",N,NE 55TH ST,"NE 55TH ST, E/O 35TH AVE NE",2011,8300,Y,Y,15,133750350,17051,17051,307775,1323.039423058570719
"(47.654938093000055, -122.36083128799999)",N,3RD AVE NW,"3RD AVE NW, S/O NW 80TH ST",2011,9700, ,Y,16,20950400,4471,4471,304227,11692.612628180764659
"(47.71764180000008, -122.29620135799996)",N,30TH AVE NE,"30TH AVE NE, S/O NE 145TH ST",2011,8300, ,Y,17,21550520,4641,4641,308000,5900.803625264510629
"(47.586101169000074, -122.323500578)",N,BEACON AVE S,"BEACON AVE S, N/O S SPOKANE ST",2011,11400, ,Y,18,53900160,9125,9125,304768,7046.176207854363383
"(47.56074767600006, -122.28702675999995)",N,RAINIER AVE S,"RAINIER AVE S, NW/O S HOLLY ST",2011,19300,Y,Y,19,93450660,12402,12402,304792,9899.733008114781114
"(47.710076694000065, -122.34477676699998)",N,AURORA AVE N,"AURORA AVE N, S/O N 145TH ST",2011,32500, ,Y,20,52501190,9001,9001,308047,8773.643828610460332
"(47.663266177000025, -122.30088691599997)",N,25TH AVE NE,"25TH AVE NE, S/O NE 75TH ST",2011,11100,Y,Y,21,16100130,3731,3731,304662,7221.949072401705052
"(47.61445724200007, -122.32982243199996)",Y,E PINE ST,"E PINE ST, W/O BROADWAY",2011,11700, ,Y,22,114800070,14633,14633,304537,2305.035244900328962
"(47.611629135000044, -122.33959191399998)",Y,3RD AVE,"3RD AVE, NW/O LENORA ST",2011,7200, ,Y,23,20800160,4388,4388,308010,3855.520727898629048
"(47.68311118200006, -122.31748950699995)",N,NE 75TH ST,"NE 75TH ST, W/O ROOSEVELT WAY NE",2011,21300,Y,Y,24,135950080,17506,17506,307794,1638.610901794168967
"(47.68304823500006, -122.29047889399999)",N,35TH AVE NE,"35TH AVE NE, N/O NE 75TH ST",2011,15800, ,Y,25,27050130,5363,5363,308006,16661.424758965822548
"(47.615589863000025, -122.31015123699996)",N,E MADISON ST,"E MADISON ST, SW/O LAKE WASHINGTON BLVD E",2011,16100, ,Y,26,112750300,14364,14364,304668,5825.629013037947516
"(47.658981683000036, -122.30113876099995)",N,25TH AVE NE,"25TH AVE NE, S/O NE 47TH ST",2011,20300,Y,Y,27,16100020,3720,3720,304660,1566.224923291004188
"(47.61295826700007, -122.33787347699996)",Y,5TH AVE,"5TH AVE, NW/O LENORA ST",2011,14600, ,Y,28,38850180,7244,7244,302244,3161.404039913431461
"(47.60329714200003, -122.32728726199997)",Y,6TH AVE,"6TH AVE, SE/O PIKE ST",2011,15300, ,Y,29,44350100,7882,7882,303507,4217.53224933465026
"(47.653996696000036, -122.38060539099996)",N,W EMERSON PL,"W EMERSON PL, SE/O 21ST AVE W",2011,20100, ,Y,30,185650015,23271,23271,308095,917.627234475308683
"(47.60169336800004, -122.31678189399997)",N,12TH AVE,"12TH AVE, N/O E YESLER WAY",2011,14800, ,Y,31,3200010,1523,1523,304511,6655.508026715082451
"(47.56114223700007, -122.38145850499996)",N,FAUNTLEROY WAY SW,"FAUNTLEROY WAY SW, S/O SW ALASKA ST",2011,17300,Y,Y,32,67700130,10387,10387,307771,6700.409654086413866
"(47.60172233900005, -122.33417859399998)",Y,1ST AVE,"1ST AVE, SE/O PIKE ST",2011,20500, ,Y,33,100090,1008,1008,304623,3622.387028347058731
"(47.64854072800006, -122.34277540199997)",N,STONE WAY N,"STONE WAY N, S/O N 45TH ST",2011,14100, ,Y,34,98100150,12968,12968,304702,7875.271358196113397
"(47.613465820000044, -122.32891310199994)",Y,E PIKE ST,"E PIKE ST, W/O BROADWAY",2011,11100, ,Y,35,114650070,14599,14599,304535,2072.732072209127637
"(47.690655407000065, -122.36599300999995)",N,NW 85TH ST,"NW 85TH ST, W/O 16TH AVE NW",2011,15200, ,Y,36,148450150,18971,18971,304745,7963.593456626173065
"(47.605155453000066, -122.33924210299995)",Y,SENECA ST OFF RP,"SENECA ST OFF RP, NE/O ALASKAN WY VI NB",2011,9800,Y,Y,37,96200010,12786,12786,303114,568.309333198142554
"(47.522322333000034, -122.33484135399999)",N,MYERS WAY S,"MYERS WAY S, S/O OLSON PL SW",2011,5600,Y,Y,38,87750010,11941,11941,307715,2781.790191331812366
"(47.54750295400004, -122.32143892899995)",N,CORSON AVE S,"CORSON AVE S, S/O S MICHIGAN ST",2011,9500,Y,Y,39,61150170,9833,9833,304772,2609.228439255416561
"(47.61117277100004, -122.34477198499997)",Y,WESTERN AVE,"WESTERN & ELLIOTT AVE, NW/O LENORA ST",2011,9700, ,Y,40,104200130,13507,13507,308210,4123.168215299043368
"(47.708560987000055, -122.31785220999996)",N,PINEHURST WAY NE,"PINEHURST WAY NE, NE/O NE 115TH ST",2011,10000,Y,Y,41,91650050,12231,12231,304551,2635.264938200772576
"(47.54800543700003, -122.33416792299994)",N,1ST AV S BR NB,"1ST AV S BR NB & SB, S/O POINT A",2011,98300, ,Y,42,520040,1270,1270,307929,4493.010222033040918
"(47.70508354100008, -122.35545274599997)",N,GREENWOOD AVE N,"GREENWOOD AVE N, N/O N 107TH ST",2011,23500,Y,Y,43,71050670,10775,10775,304696,5295.660582630240242
"(47.55208187900007, -122.31975399299995)",N,S LUCILE ST,"S LUCILE ST, W/O 12TH AVE S",2011,11500, ,Y,44,164950115,20699,20699,308081,1104.919695010912619
"(47.71447200800003, -122.31250490699995)",N,15TH AVE NE,"15TH AVE NE, S/O NE 145TH ST",2011,15100,Y,Y,45,5550680,2096,2096,304648,7106.180547824972564
"(47.544682574000035, -122.37644504299999)",N,35TH AVE SW,"35TH AVE SW, S/O SW MORGAN ST",2011,20600,Y,Y,46,27200240,5462,5462,307672,8613.68362604408685
"(47.51727251900007, -122.34013076499997)",N,SW ROXBURY ST,"SW ROXBURY ST, E/O 26TH AVE SW",2011,18700,Y,Y,47,181450280,22771,22771,307747,9082.814805230540514
"(47.544682574000035, -122.37644504299999)",N,SW MORGAN ST,"SW MORGAN ST, W/O 35TH AVE SW",2011,7000,Y,Y,48,180000070,22592,22592,307745,2660.88132902199095
"(47.571109189000026, -122.37064141299999)",N,SW AVALON WAY,"SW AVALON WAY, N/O 30TH AVE SW",2011,13500, ,Y,49,173900035,21818,21818,303740,3424.604323704277249
"(47.622060832000045, -122.34367501599996)",N,AURORA BR,"AURORA BR, S/O BRIDGE WAY N",2011,76300, ,Y,50,52540270,8919,8919,308207,10850.446509834267999
"(47.626828156000045, -122.32021962799996)",N,E ALOHA ST,"E ALOHA ST, E/O 10TH AVE E",2011,7400, ,Y,51,108300040,13812,13812,303862,869.880954828098766
"(47.613595528000076, -122.33517270299996)",Y,7TH AVE,"7TH AVE, NW/O LENORA ST",2011,4700, ,Y,52,47050150,8164,8164,308018,2713.653654498012656
"(47.55226298000008, -122.31929088799995)",N,CORSON AVE S,"CORSON AVE S, N/O S MICHIGAN ST",2011,27900,Y,Y,53,61150160,9832,9832,304770,1873.879353787621994
"(47.66753995500005, -122.39831360899996)",N,32ND AVE NW,"32ND AVE NW, S/O NW 80TH ST",2011,4400, ,Y,54,23850280,5001,5001,304221,8343.161943647515727
"(47.58119534200006, -122.38654575599998)",N,CALIFORNIA AVE SW,"CALIFORNIA AVE SW, S/O SW CHARLESTOWN ST",2011,14300, ,Y,55,57900200,9548,9548,308055,7978.442174768427321
"(47.56281827200007, -122.28783612799998)",N,RAINIER AVE S,"RAINIER AVE S, N/O S ALASKA ST",2011,26200, ,Y,56,93450450,12383,12383,304790,786.98202076319285
"(47.60933797300004, -122.32513907699996)",Y,MADISON ST,"MADISON ST, NE/O BOREN AVE",2011,25200,Y,Y,57,83000140,11592,11592,304531,1269.957265145249721
"(47.52225744300006, -122.32298568299996)",N,8TH AVE S,"8TH AVE S, N/O CITY LIMITS",2011,1800, ,Y,58,48050420,8469,8469,308024,1303.604930602553395
"(47.60165615300008, -122.29676784199995)",N,M L KING JR WAY,"M L KING JR WAY, N/O E YESLER WAY",2011,13400, ,Y,59,82910010,11481,11481,304527,2335.014337746900765
"(47.50635283200006, -122.25453661599994)",N,RENTON AVE S,"RENTON AVE S, SE/O S BANGOR ST",2011,11200, ,Y,60,94250590,12545,12545,308077,2893.1225686604148
"(47.63349905000007, -122.37619535299996)",N,15TH AVE W,"15TH AVE W, N/O W ARMORY WAY",2011,42300,Y,Y,61,5750060,2188,2188,304755,7640.755891831888221
"(47.66501938000005, -122.35395996399996)",N,PHINNEY AVE N,"PHINNEY AVE N, S/O N 65TH ST",2011,11200, ,Y,62,91150330,12159,12159,304700,4076.163761869759583
"(47.68292620300008, -122.26369135099998)",N,NE 125TH ST,"NE 125TH ST, E/O 35TH AVE NE",2011,11100, ,Y,63,129750300,16504,16504,304676,17299.62173436737794
"(47.683045873000026, -122.31207927199995)",N,15TH AVE NE,"15TH AVE NE, S/O NE NORTHGATE WAY",2011,7000, ,Y,64,5550500,2078,2078,304672,11465.332337624080537
"(47.601716156000066, -122.33026479299997)",Y,3RD AVE,"3RD AVE, SE/O PIKE ST",2011,8500, ,Y,65,20800110,4383,4383,308012,4292.235215610890009
"(47.57209540100007, -122.36001028199996)",N,WEST MARGINAL WAY SW,"WEST MARGINAL WAY SW, NW/O HIGHLAND PARK WAY SW",2011,16900,Y,Y,66,188450140,23539,23539,307753,13076.035679779013662
"(47.51685113700006, -122.27002476599995)",N,51ST AVE S,"51ST AVE S, S/O S BANGOR ST",2011,9700, ,Y,67,40250440,7537,7537,308014,9773.270361867680549
"(47.67578344000003, -122.31192972099996)",N,15TH AVE NE,"15TH AVE NE, S/O NE 75TH ST",2011,7500, ,Y,68,5550250,2054,2054,304646,2680.065642696879422
"(47.60168875700003, -122.31416192599994)",N,14TH AVE,"14TH AVE, N/O E YESLER WAY",2011,8300, ,Y,69,4450010,1840,1840,304515,1642.740505838396302
"(47.71974505000003, -122.31813230799997)",N,ROOSEVELT WAY NE,"ROOSEVELT WAY NE, SE/O NE 130TH N ST",2011,18900,Y,Y,70,94850755,12667,12667,307739,1819.382111628248595
"(47.61859203600005, -122.35283934999995)",Y,DENNY WAY,"DENNY WAY, W/O 2ND AVE",2011,33300,Y,Y,71,63450045,10000,10000,307145,1115.205642893322192
"(47.72311933700007, -122.32356466599998)",N,5TH AVE NE,"5TH AVE NE, S/O 145TH ST OFF RP",2011,6600, ,Y,72,38950700,7340,7340,308016,3988.297149992508821
"(47.58610376900003, -122.33419784499995)",N,S HOLGATE BR,"S HOLGATE BR, E/O S HOLGATE ST",2011,6700, ,Y,73,161950010,20314,20314,302542,2641.632276670509327
"(47.61990774700007, -122.32087289199995)",N,E JOHN ST,"E JOHN ST, E/O BROADWAY E",2011,15400, ,Y,74,112000040,14243,14243,302671,972.867066792347487
"(47.52280971300007, -122.34672690899998)",N,8TH AVE SW,"8TH AVE SW, N/O SW ROXBURY ST",2011,7200, ,Y,75,48100100,8477,8477,308026,2079.736964187974536
"(47.632304341000065, -122.39300801799999)",N,28TH AVE W,"28TH AVE W, S/O W DRAVUS ST",2011,3700, ,Y,76,19300260,4248,4248,304664,5961.537848719569411
"(47.686939153000026, -122.36064997699998)",N,3RD AVE NW,"3RD AVE NW, S/O NW 145TH ST",2011,8000, ,Y,77,20950790,4513,4513,308008,17217.798895739975706
