OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OBJECTID_1,STUDY_ID,TITLE,STUDY_ADT,STUDY_MAX8,STUDY_AMPK,STUDY_PMPK,SEG_COMPKEY,STDY_TITLE,STDY_LABEL,YEAR,FLOWMAP,HPMS_FLOW_,AWDT,ADJUSTMENT,AAWDT,RND_AAWDT,Shape,Shape_Length
1,94250370,N,12522,RENTON AVE S,194,311070,"RENTON AVE S, N/O S CLOVERDALE ST; TOTAL FLOW; CH(AGG); 02Feb2012 11:30",7900,4457,561,692,12522,"RENTON AVE S, N/O S CLOVERDALE ST","311070, 2012-02-02, TOTAL",2012,Y,"RENTON AVE S, N/O S CLOVERDALE ST",8059.400000000000546,1.019,8213,8200,"(47.535405816000036, -122.28064276199996)",4615.13450365470726
2,50000650,N,8702,AIRPORT WAY S,134,311369,"AIRPORT WAY S, N/O S NORFOLK ST; TOTAL FLOW; CH(AGG);(2011 DATA) 02May2012 11:00",8830,6864,1270,1058,8702,"AIRPORT WAY S, N/O S NORFOLK ST","311369, 2012-05-02, TOTAL",2012,Y,"AIRPORT WAY S, N/O S NORFOLK ST",11012.399999999999636,1.002,11034,11000,"(47.52407785500003, -122.29347826999998)",18205.478930570203374
3,123450090,N,15794,N 65TH ST,239,308924,"N 65TH ST, W/O LINDEN AVE N; TOTAL FLOW; CHB TUBE; 04Sep2012 11:00",7651,4736,579,774,15794,"N 65TH ST, W/O LINDEN AVE N","308924, 2012-09-04, TOTAL",2012,Y,"N 65TH ST, W/O LINDEN AVE N",8126.800000000000182,0.974,7916,7900,"(47.67606025300006, -122.34830501899995)",12341.641545415119253
4,9550200,Y,2762,2ND AVE,155,306613,"2ND AVE, NW/O LENORA ST; TOTAL FLOW; CH(AGG); 01Mar2012 11:30",8494,5284,1042,716,2762,"2ND AVE, NW/O LENORA ST","306613, 2012-03-01, TOTAL",2012,Y,"2ND AVE, NW/O LENORA ST",9099.399999999999636,1.046,9518,9500,"(47.61096394800006, -122.34045213799999)",4161.475805268462864
5,80150420,N,11190,LAKE CITY WAY NE,13,311225,"LAKE CITY WAY NE, S/O NE 145TH ST; TOTAL FLOW; CH(AGG); 15May2012 10:00",35885,20878,2661,3003,11190,"LAKE CITY WAY NE, S/O NE 145TH ST","311225, 2012-05-15, TOTAL",2012,Y,"LAKE CITY WAY NE, S/O NE 145TH ST",38030.599999999998545,1.002,38107,38100,"(47.712044252000055, -122.29951197399998)",8237.294171975428981
6,78850080,Y,11055,JAMES ST,140,309979,"JAMES ST, NE/O 7TH AVE; TOTAL FLOW; CH(AGG); 30Oct2012 10:00",27992,15108,2017,1977,11055,"JAMES ST, NE/O 7TH AVE","309979, 2012-10-30, TOTAL",2012,Y,"JAMES ST, NE/O 7TH AVE",29947.600000000002183,0.978,29289,29300,"(47.60462517900004, -122.32697031499998)",1288.213152653518137
7,71050870,N,10795,GREENWOOD AVE N,59,309969,"GREENWOOD AVE N, S/O N 145TH ST; TOTAL FLOW; CH(AGG); 14May2012 11:00",20617,12627,1561,2072,10795,"GREENWOOD AVE N, S/O N 145TH ST","309969, 2012-05-14, TOTAL",2012,Y,"GREENWOOD AVE N, S/O N 145TH ST",22107.200000000000728,1.002,22151,22200,"(47.71960135900008, -122.35553853899995)",5299.690952265141277
8,94250400,N,12525,RENTON AVE S,205,311072,"RENTON AVE S, SE/O S HENDERSON ST; TOTAL FLOW; CH(AGG); 13Aug2012 11:30",6747,3616,343,599,12525,"RENTON AVE S, SE/O S HENDERSON ST","311072, 2012-08-13, TOTAL",2012,Y,"RENTON AVE S, SE/O S HENDERSON ST",6844.199999999999818,1.008,6899,6900,"(47.52331233900003, -122.27640325399994)",8272.077885546317702
9,31300190,Y,6138,4TH AVE,61,308763,"4TH AVE, NW/O LENORA ST; TOTAL FLOW; CH(AGG); 01Mar2012 10:30",16885,10075,1183,1807,6138,"4TH AVE, NW/O LENORA ST","308763, 2012-03-01, TOTAL",2012,Y,"4TH AVE, NW/O LENORA ST",18268.400000000001455,1.046,19109,19100,"(47.61218154000005, -122.33854264999997)",3501.395056049542291
10,63200340,N,9992,DELRIDGE WAY SW,33,309933,"DELRIDGE WAY SW, NW/O SW CAMBRIDGE ST; TOTAL FLOW; CH(AGG); 25Jun2012 12:30",16133,9193,961,1367,9992,"DELRIDGE WAY SW, NW/O SW CAMBRIDGE ST","309933, 2012-06-25, TOTAL",2012,Y,"DELRIDGE WAY SW, NW/O SW CAMBRIDGE ST",16646.400000000001455,0.964,16047,16000,"(47.522861344000034, -122.36009936199997)",2347.959255633420071
