OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OBJECTID_1,NAME,YEAR,SEGKEY,AAWDT,INPUT_STUDY_ID,HPMS,FLOW_COUNT,Shape,Shape_Length
1,94250370,N,12522,RENTON AVE S,219,"RENTON AVE S, N/O S CLOVERDALE ST",2013,12522,8400,312359, ,Y,"(47.535405816000036, -122.28064276199996)",4615.13450365470726
2,50000650,N,8702,AIRPORT WAY S,79,"AIRPORT WAY S, N/O S NORFOLK ST",2013,8702,11100,313701, ,Y,"(47.52407785500003, -122.29347826999998)",18205.478930570203374
3,123450090,N,15794,N 65TH ST,178,"N 65TH ST, W/O LINDEN AVE N",2013,15794,5400,313746, ,Y,"(47.67606025300006, -122.34830501899995)",12341.641545415119253
4,9550200,Y,2762,2ND AVE,42,"2ND AVE, NW/O LENORA ST",2013,2762,14000,311796, ,Y,"(47.61096394800006, -122.34045213799999)",4161.475805268462864
5,80150420,N,11190,LAKE CITY WAY NE,149,"LAKE CITY WAY NE, S/O NE 145TH ST",2013,11190,40400,313721, ,Y,"(47.712044252000055, -122.29951197399998)",8237.294171975428981
6,78850080,Y,11055,JAMES ST,147,"JAMES ST, NE/O 7TH AVE",2013,11055,22100,313120,Y,Y,"(47.60462517900004, -122.32697031499998)",1288.213152653518137
7,71050870,N,10795,GREENWOOD AVE N,139,"GREENWOOD AVE N, S/O N 145TH ST",2013,10795,22300,313110,Y,Y,"(47.71960135900008, -122.35553853899995)",5299.690952265141277
8,94250400,N,12525,RENTON AVE S,221,"RENTON AVE S, SE/O S HENDERSON ST",2013,12525,6600,313468, ,Y,"(47.52331233900003, -122.27640325399994)",8272.077885546317702
9,31300190,Y,6138,4TH AVE,61,"4TH AVE, NW/O LENORA ST",2013,6138,14400,310951,Y,Y,"(47.61218154000005, -122.33854264999997)",3501.395056049542291
10,63200340,N,9992,DELRIDGE WAY SW,106,"DELRIDGE WAY SW, NW/O SW CAMBRIDGE ST",2013,9992,9900,313088,Y,Y,"(47.522861344000034, -122.36009936199997)",2347.959255633420071
11,300310,N,1221,1ST AVE S,30,"1ST AVE S, S/O S LUCILE ST",2013,1221,18500,313452, ,Y,"(47.55342592800008, -122.33421550999998)",1881.08324343105005
12,118650110,N,15163,N 130TH ST,169,"N 130TH ST, W/O ASHWORTH AVE N",2013,15163,19600,313140,Y,Y,"(47.723211939000066, -122.34515960199997)",5315.40860707820957
13,26200100,N,5324,34TH AVE W,47,"34TH AVE W, N/O W BARRETT ST",2013,5324,4700,311754, ,Y,"(47.63955597900008, -122.40100005599999)",7204.640181629007202
14,133750350,N,17051,NE 55TH ST,190,"NE 55TH ST, E/O 35TH AVE NE",2013,17051,6800,313157,Y,Y,"(47.66851165500003, -122.29019267799998)",1323.039429446254417
15,20950400,N,4471,3RD AVE NW,54,"3RD AVE NW, S/O NW 80TH ST",2013,4471,8800,312288, ,Y,"(47.654938093000055, -122.36083128799999)",11692.845230751641793
16,21550520,N,4641,30TH AVE NE,44,"30TH AVE NE, S/O NE 145TH ST",2013,4641,8100,313567, ,Y,"(47.71764180000008, -122.29620135799996)",5900.819617759161702
17,93450660,N,12402,RAINIER AVE S,214,"RAINIER AVE S, NW/O S HOLLY ST",2013,12402,19700,313466, ,Y,"(47.56074767600006, -122.28702675999995)",9900.479784456299967
18,52501190,N,9001,AURORA AVE N,86,"AURORA AVE N, S/O N 145TH ST",2013,9001,37000,313709, ,Y,"(47.710076694000065, -122.34477676699998)",8773.646131242388947
19,16100130,N,3731,25TH AVE NE,40,"25TH AVE NE, S/O NE 75TH ST",2013,3731,11900,313035,Y,Y,"(47.663266177000025, -122.30088691599997)",7222.044652647220573
20,114800070,Y,14633,E PINE ST,120,"E PINE ST, W/O BROADWAY",2013,14633,10200,313419, ,Y,"(47.61445724200007, -122.32982243199996)",2305.051367790955283
21,20800160,Y,4388,3RD AVE,55,"3RD AVE, NW/O LENORA ST",2013,4388,7400,313561, ,Y,"(47.611629135000044, -122.33959191399998)",3855.52176173807311
22,135950080,N,17506,NE 75TH ST,197,"NE 75TH ST, W/O ROOSEVELT WAY NE",2013,17506,20000,313163,Y,Y,"(47.68311118200006, -122.31748950699995)",1638.814930859653032
23,27050130,N,5363,35TH AVE NE,48,"35TH AVE NE, N/O NE 75TH ST",2013,5363,17200,313037,Y,Y,"(47.68304823500006, -122.29047889399999)",16661.965610853869293
24,16100020,N,3720,25TH AVE NE,39,"25TH AVE NE, S/O NE 47TH ST",2013,3720,17800,313033,Y,Y,"(47.658981683000036, -122.30113876099995)",1566.283982191900122
25,38850180,Y,7244,5TH AVE,67,"5TH AVE, NW/O LENORA ST",2013,7244,12800,311774, ,Y,"(47.61295826700007, -122.33787347699996)",3161.428490705025524
26,44350100,Y,7882,6TH AVE,72,"6TH AVE, SE/O PIKE ST",2013,7882,14300,311638, ,Y,"(47.60329714200003, -122.32728726199997)",4217.538196430848984
27,3200010,N,1523,12TH AVE,14,"12TH AVE, N/O E YESLER WAY",2013,1523,13400,313399, ,Y,"(47.60169336800004, -122.31678189399997)",6655.508055508860707
28,67700130,N,10387,FAUNTLEROY WAY SW,133,"FAUNTLEROY WAY SW, S/O SW ALASKA ST",2013,10387,18000,313107,Y,Y,"(47.56114223700007, -122.38145850499996)",6701.184305007837793
29,98100150,N,12968,STONE WAY N,250,"STONE WAY N, S/O N 45TH ST",2013,12968,12500,313438, ,Y,"(47.64854072800006, -122.34277540199997)",7875.290365878261582
30,114650070,Y,14599,E PIKE ST,119,"E PIKE ST, W/O BROADWAY",2013,14599,12000,313417, ,Y,"(47.613465820000044, -122.32891310199994)",2073.249086529443503
31,148450150,N,18971,NW 85TH ST,204,"NW 85TH ST, W/O 16TH AVE NW",2013,18971,13600,311606, ,Y,"(47.690655407000065, -122.36599300999995)",7963.598603482202634
