SiteId,SiteLocation,Date,DayOfWeek,TravelDirection,Hour1,Hour2,Hour3,Hour4,Hour5,Hour6,Hour7,Hour8,Hour9,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23,Hour24
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2014-12-18 00:00:00,Thursday,Eastbound,537,318,293,265,468,1307,3317,4656,3805,3821,3406,3651,3558,3837,4332,4784,4957,5054,4361,3354,2613,2341,1978,1054
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2014-12-25 00:00:00,Thursday,Eastbound,623,431,273,95,104,197,317,514,855,1399,1842,2102,2315,2619,2646,2711,2522,2000,1612,1688,1830,1760,1255,749
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2015-02-25 00:00:00,Wednesday,Westbound,297,154,152,169,491,2017,4673,5540,5185,4447,3356,3192,3142,3314,3498,3869,3870,3559,3723,2930,1969,1649,1144,501
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2015-03-04 00:00:00,Wednesday,Westbound,302,148,164,180,452,1965,4999,5822,5310,4534,3279,3195,3175,3210,3648,3881,3876,3767,3818,2689,1989,1656,1124,520
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2015-03-11 00:00:00,Wednesday,Westbound,303,175,176,209,482,1975,4463,5086,4743,4699,3231,3334,2713,3484,3577,3970,3989,3782,3586,2964,2044,1784,1120,566
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2015-03-18 00:00:00,Wednesday,Westbound,528,268,249,257,647,2002,4704,5611,5141,4360,3478,3329,3187,3402,3724,3860,3736,3661,3626,3278,2225,1847,1180,605
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2015-03-25 00:00:00,Wednesday,Westbound,319,164,201,207,472,1972,4408,5485,5097,4348,3425,3306,3148,3358,3431,3775,3781,3578,3560,2947,2087,1793,1122,590
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2017-01-16 00:00:00,Monday,Eastbound,447,300,191,183,377,1057,2462,3021,3020,3245,3376,3450,3445,3545,3823,4392,4820,4424,3514,2510,1872,1530,1068,627
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2017-01-23 00:00:00,Monday,Eastbound,327,189,142,180,409,1458,3419,4528,3812,3504,3139,3069,3231,3259,4058,4842,5619,5862,4621,2887,2097,1773,1158,656
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2017-01-30 00:00:00,Monday,Eastbound,411,226,178,211,491,1410,3429,4375,3799,3607,3170,3218,3249,3410,4193,5036,5411,5555,4626,2974,2280,1681,1250,634
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2017-02-06 00:00:00,Monday,Eastbound,269,162,125,160,262,624,1384,1451,1279,1203,1147,1264,1298,1472,1752,1955,2070,1961,1434,1163,885,738,689,388
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2017-02-13 00:00:00,Monday,Eastbound,375,202,166,191,445,1413,3471,4451,3600,3378,3268,3450,3437,3446,4105,4957,5544,5916,4842,3034,2250,1978,1183,704
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2017-04-01 00:00:00,Saturday,Westbound,950,526,438,207,273,569,1096,1757,2737,3634,4169,4153,4039,3750,3313,4128,4109,4353,4002,3361,2764,2989,2591,1796
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2017-04-15 00:00:00,Saturday,Westbound,568,336,257,159,168,435,806,1163,1995,2765,3017,3236,3297,3401,3490,3737,3983,3736,3241,2661,2103,2010,1743,1149
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2017-04-22 00:00:00,Saturday,Westbound,614,389,261,202,235,484,1032,1572,1908,1934,1846,1849,1740,1806,1673,1830,1782,1835,1697,1730,1820,1780,1688,1074
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2017-04-29 00:00:00,Saturday,Westbound,632,382,251,151,202,465,932,1468,2201,2775,3106,3350,3454,3451,3527,4095,4412,4409,3944,2510,2067,2140,1748,1137
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2016-02-14 00:00:00,Sunday,Eastbound,981,763,588,310,254,334,567,1137,1446,1948,2565,2859,3196,3435,3334,3349,3279,2910,2451,2156,1839,1714,1431,876
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2016-02-28 00:00:00,Sunday,Eastbound,998,706,662,356,267,333,588,1274,1768,2315,2628,3199,3533,3573,3230,3407,3258,2983,2553,2022,1707,1657,1067,638
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2016-03-06 00:00:00,Sunday,Eastbound,990,668,618,285,206,338,615,1206,1826,2420,2849,3133,3485,3494,3143,3208,3212,3018,3905,2417,2080,1626,1113,619
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2015-12-26 00:00:00,Saturday,Eastbound,417,284,226,163,201,341,694,1165,1547,2021,2565,2766,2774,2848,2824,3062,3057,2720,2299,2073,1878,1769,1709,1131
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2016-01-02 00:00:00,Saturday,Eastbound,459,331,278,203,186,314,669,1430,1988,2762,2973,3388,3347,3269,3209,3325,3681,3094,2562,2005,1803,1763,1771,1098
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2016-01-09 00:00:00,Saturday,Eastbound,957,637,543,310,278,439,976,2173,3220,3194,3392,3539,3631,3612,3370,3310,3550,3202,2579,2058,1705,2151,2155,1445
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2016-01-16 00:00:00,Saturday,Eastbound,844,652,516,316,252,424,920,2084,2730,2706,3027,3191,3608,3624,3291,3304,3281,3007,2591,2098,1711,2124,2030,1488
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2016-01-23 00:00:00,Saturday,Eastbound,1276,709,598,317,263,463,898,1954,2814,2808,2890,3055,3209,3206,3021,3031,3147,2944,2589,2190,1898,2068,1925,1424
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2016-01-30 00:00:00,Saturday,Eastbound,903,635,480,316,272,457,977,2142,2907,2974,3192,3632,3696,3702,3752,3753,3727,3678,3023,2481,2125,2275,2198,1677
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2017-05-14 00:00:00,Sunday,Eastbound,1065,767,640,305,225,391,592,1092,1570,2619,3173,3355,3722,3708,3567,3535,3535,3186,2879,2528,2232,1995,1792,2759
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2017-05-21 00:00:00,Sunday,Eastbound,1076,768,653,353,246,477,864,1684,2299,2914,3364,3207,3376,3407,3303,3601,4142,3154,2956,2505,2340,2085,1646,897
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2017-05-28 00:00:00,Sunday,Eastbound,1012,625,523,287,226,399,840,1526,2091,3200,3301,3159,3200,3338,3324,3234,3386,2999,2841,2553,2326,2526,2000,1363
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2014-09-07 00:00:00,Sunday,Westbound,612,333,241,153,148,376,696,1025,1504,2329,2952,3042,3439,3046,3184,3348,3357,3303,3097,2503,2361,1806,1090,562
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2014-09-14 00:00:00,Sunday,Westbound,1055,709,478,199,199,409,801,1130,1993,3238,4067,4487,4209,3694,3800,3626,3475,3623,3651,3361,2756,2111,1587,783
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2014-09-24 00:00:00,Wednesday,Westbound,261,145,162,187,460,1834,4219,4966,4545,3943,3477,3028,3057,3433,3459,3857,3796,3802,3578,2661,2143,1872,1224,545
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2014-10-01 00:00:00,Wednesday,Westbound,325,181,149,209,475,1935,4429,5247,4841,4568,3343,3242,3427,3720,3699,3456,3887,3788,3846,2778,2216,1692,1148,567
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2014-10-08 00:00:00,Wednesday,Westbound,301,169,168,168,472,1923,4497,5506,4797,4323,3352,3179,3129,3328,3568,3947,3837,3771,3346,2959,2113,1723,1159,572
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2014-10-15 00:00:00,Wednesday,Westbound,308,160,180,189,469,1891,4406,5009,4538,4528,3473,3112,3174,3363,3537,3850,3849,3846,3771,2726,2016,1751,1046,558
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2014-10-22 00:00:00,Wednesday,Westbound,329,172,163,177,452,1814,3837,5258,5259,3978,3036,3055,2960,3094,3430,3546,3341,3296,3346,3177,1918,1625,1069,588
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2017-01-11 00:00:00,Wednesday,Eastbound,437,272,179,194,423,1209,3153,4429,3797,3812,3414,3336,3520,3678,4168,4905,5640,5810,4632,3183,2423,2230,1659,808
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2017-01-18 00:00:00,Wednesday,Eastbound,365,217,175,204,426,1354,3391,4112,3429,3222,3163,3217,3142,3302,4057,4569,5142,5257,4663,3158,2351,2019,1520,742
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2017-01-25 00:00:00,Wednesday,Eastbound,410,239,220,195,435,1422,3616,4479,3768,3792,3494,3397,3608,3673,4148,4900,5105,4535,4796,3341,2475,2321,1678,874
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2017-02-01 00:00:00,Wednesday,Eastbound,444,251,229,206,432,1401,3511,4526,3745,3698,3490,3509,3743,3658,4206,5095,5672,5742,4783,3291,2590,2211,1647,766
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2017-02-08 00:00:00,Wednesday,Eastbound,360,208,185,216,493,1424,3431,4361,3775,3619,3387,3292,3345,3410,3989,4518,5201,4986,4839,3380,2439,2251,1382,818
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2017-02-15 00:00:00,Wednesday,Eastbound,512,257,229,200,461,1428,3415,4401,3654,3485,3333,3342,3386,3523,3918,4174,5031,5464,4661,3296,2568,2145,1433,747
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2016-08-11 00:00:00,Thursday,Westbound,361,222,170,220,550,1939,4596,5595,4875,4386,3700,3441,3648,3787,3868,3883,3796,3564,3586,3264,2373,2221,1564,987
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2016-08-18 00:00:00,Thursday,Westbound,334,212,175,222,533,1895,4531,5331,5050,4285,3674,3644,3782,3718,3804,3837,3784,3787,3430,3447,2524,2132,1542,873
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2016-08-25 00:00:00,Thursday,Westbound,372,218,173,209,492,1985,4450,5158,4634,4333,3551,3472,3713,3578,3814,3962,3888,3826,3608,3449,2395,2007,1601,772
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2016-09-01 00:00:00,Thursday,Westbound,326,175,167,215,484,1964,4428,5655,5015,4460,3654,3458,3434,3457,3542,3888,3782,3797,3741,2780,2122,1951,1400,674
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2016-09-08 00:00:00,Thursday,Westbound,258,187,155,220,497,2035,4430,5643,4878,4473,3672,3471,3349,3562,3290,3825,3586,3682,3686,3487,2271,1912,1254,625
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2016-09-15 00:00:00,Thursday,Westbound,302,178,186,207,486,1981,4712,5293,5117,4504,3504,3295,3314,3354,3651,3805,3878,3822,3558,3362,2403,2000,1434,689
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2016-09-23 00:00:00,Friday,Eastbound,572,349,300,231,452,1449,3413,4295,3510,3590,3624,3679,3721,3894,4496,5165,5145,5259,4172,2986,2247,2363,1957,1407
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2016-09-30 00:00:00,Friday,Eastbound,856,505,423,335,539,1469,3461,4336,3490,3651,3772,3763,3923,4105,4371,5259,5246,4841,3689,2773,2376,3011,3536,1720
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2016-10-07 00:00:00,Friday,Eastbound,529,321,325,241,442,1473,3480,4334,3473,3476,3634,3737,3758,3996,4571,5145,5732,5465,4061,2951,2280,2241,2383,2058
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2016-10-14 00:00:00,Friday,Eastbound,442,329,222,212,411,1378,2844,3669,3171,3218,3126,3272,3384,3486,4204,4796,4766,4790,3406,2578,1956,1804,1877,1302
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2016-10-21 00:00:00,Friday,Eastbound,576,319,270,237,432,1421,3460,4294,3530,3640,3535,3565,3711,4039,4683,5117,5524,5106,4078,2973,2396,2402,2349,1670
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2015-09-04 00:00:00,Friday,Westbound,360,210,176,233,467,1683,3917,5407,4500,4102,3449,3425,3347,3556,3806,3873,3812,3402,3156,2598,2063,1886,1605,1004
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2015-09-11 00:00:00,Friday,Westbound,360,201,155,217,451,1802,4185,5421,5178,4218,3398,3239,3481,3612,3813,3687,3738,3721,3749,3279,2458,2064,1818,1026
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2015-09-18 00:00:00,Friday,Westbound,348,175,181,220,460,1790,4132,5546,4713,4196,3662,3481,3485,3486,3811,3976,3815,3789,3613,2968,2199,1982,1673,957
R117,On SR 090 at milepost 2.98 A: W/O RAINIER AVE I/C - SEATTLE                               ,2015-09-25 00:00:00,Friday,Westbound,409,205,169,196,475,1764,3958,5012,4800,4031,3505,3512,3487,3602,3821,3865,3855,3800,3982,3248,2276,2014,1684,1060
