SiteId,SiteLocation,Date,DayOfWeek,TravelDirection,Hour1,Hour2,Hour3,Hour4,Hour5,Hour6,Hour7,Hour8,Hour9,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23,Hour24
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2013-03-12 00:00:00,Tuesday,Northbound,2,0,3,0,68,910,1919,2611,2302,1364,1056,497,835,1062,1467,1865,2197,2255,1824,1096,691,742,524,75
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2013-03-19 00:00:00,Tuesday,Northbound,0,0,0,0,35,940,1807,2567,2304,1501,1006,463,829,1054,1443,1841,2195,2352,1830,1073,685,616,535,52
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2013-03-26 00:00:00,Tuesday,Northbound,0,0,0,0,61,845,1812,2662,2256,1569,997,690,896,1093,1514,2000,2316,2480,1740,1055,792,634,556,44
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2016-01-31 00:00:00,Sunday,Northbound,2,0,0,0,0,0,0,9,497,813,1014,988,1006,884,1287,1386,1400,1269,1076,898,750,660,523,157
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2016-02-07 00:00:00,Sunday,Northbound,0,0,0,0,0,0,0,6,433,700,813,811,840,658,1304,1123,797,775,691,787,1129,851,494,186
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2016-02-14 00:00:00,Sunday,Northbound,0,0,0,0,0,0,0,5,432,710,907,924,999,779,1251,1280,1271,1164,1025,855,757,764,551,237
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2016-02-21 00:00:00,Sunday,Northbound,1,1,1,1,0,0,0,8,532,863,921,1004,1075,740,1361,1419,1345,1315,1173,994,895,737,512,174
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2016-02-28 00:00:00,Sunday,Northbound,0,2,1,0,0,0,0,6,529,805,989,944,1047,841,1023,1254,1261,1147,1115,971,810,709,528,134
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2014-06-25 00:00:00,Wednesday,Southbound,1,0,0,0,74,1085,2003,2610,2288,1500,1152,758,1024,1203,1563,2007,2310,2351,1955,1181,865,790,948,111
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2014-07-02 00:00:00,Wednesday,Southbound,0,0,0,0,71,1080,1966,2491,2137,1505,1165,825,1046,1249,1496,1960,2278,2411,1972,1105,864,753,643,76
